// Solid Edge SEConductors.txt file.
// The contents of this file are used by Solid Edge Wire Harness Design
// and lists the wires, cables, and bundles the user can choose.
// The location of this file is set by Tools | Options; File Locations.
//
// You can add, modify, or delete entries provided the following format is used:
//
// Description: conductor description as listed in the interface
// WireDia: conductor diameter in meters and with a "." as the decimal separator
// Gage: name or other to identify the conductor size (Solid Edge will choose by gage over WireDia)
// PartNumber: user defined field representing raw material or spool number for the conductor
// OuterDia: outer diameter including insulation in meters and with a "." as the decimal separator
// NumOfConductors: lists the number of conductors in a cable
// Type: indicates conductor and can be any value
// Material: indicates conductor and can be any value
// MassPerUnitLength: lists the mass/length in kg/m and with a "." as the decimal separator
// MinBendRadius: lists the minimum bend radius in meters with a "." as the decimal separator.
// Color: indicates the color in long RGB value
//
// Localization requirements are that only comments, gage and description are to be localized.
//
// wires must be listed between BeginWires and EndWires
// cables must be listed between BeginCables and EndCables
// bundles must be listed between BeginBundles and EndBundles
//
// The decimal delimiter must be the "." character.
// The separator between various fields must be a semi colon ";"
// All lines starting with "//" are ignored
//
// Description; WireDia; Gage; PartNumber; OuterDia; NumOfConductors; Type; Material;
// MassPerUnitLength; MinBendRadius; Color


BeginWires
22-gage Stranded Copper Blue; 0.00064; 22; ; 0.00146; ; Stranded; Copper; 0.00290; 0.00064; 16711680
22-gage Stranded Copper Dk Blue; 0.00064; 22; ; 0.00146; ; Stranded; Copper; 0.00290; 0.00064; 8388608
22-gage Stranded Copper Dk Magenta; 0.00064; 22; ; 0.00146; ; Stranded; Copper; 0.00290; 0.00064; 8388736
22-gage Stranded Copper Black; 0.00064; 22; ; 0.00146; ; Stranded; Copper; 0.00290; 0.00064; 0
22-gage Stranded Copper White; 0.00064; 22; ; 0.00146; ; Stranded; Copper; 0.00290; 0.00064; 16777215
22-gage Stranded Copper Gray; 0.00064; 22; ; 0.00146; ; Stranded; Copper; 0.00290; 0.00064; 9737364
22-gage Stranded Copper Cyan; 0.00064; 22; ; 0.00146; ; Stranded; Copper; 0.00290; 0.00064; 16776960
24-gage Stranded Copper Red; 0.00051; 24; ; 0.00133; ; Stranded; Copper; 0.00183; 0.00051; 255
24-gage Stranded Copper Orange; 0.00051; 24; ; 0.00133; ; Stranded; Copper; 0.00183; 0.00051; 33023
24-gage Stranded Copper Yellow; 0.00051; 24; ; 0.00133; ; Stranded; Copper; 0.00183; 0.00051; 65535
24-gage Stranded Copper Green; 0.00051; 24; ; 0.00133; ; Stranded; Copper; 0.00183; 0.00051; 65280
24-gage Stranded Copper Blue; 0.00051; 24; ; 0.00133; ; Stranded; Copper; 0.00183; 0.00051; 16711680
24-gage Stranded Copper Dk Blue; 0.00051; 24; ; 0.00133; ; Stranded; Copper; 0.00183; 0.00051; 8388608
24-gage Stranded Copper Dk Magenta; 0.00051; 24; ; 0.00133; ; Stranded; Copper; 0.00183; 0.00051; 8388736
24-gage Stranded Copper Black; 0.00051; 24; ; 0.00133; ; Stranded; Copper; 0.00183; 0.00051; 0
24-gage Stranded Copper White; 0.00051; 24; ; 0.00133; ; Stranded; Copper; 0.00183; 0.00051; 16777215
